trial,item_no,item_id,type,expset,condition_no,social_context,target_context,register_match,grammatical,context,critical,condition,picture1,picture2,picture3,picture4,sentence,context_norm
practice,practice,practice,practice,practice,practice,practice,practice,practice,practice,Hochtrabend daherkommend*erwähnte*der Profi:,"Ich*mutmaße,*dass*die Reparatur*trotz der fairen Versicherung*teuer ist. ",practice,practice1rel1.jpg,practice1rel2.jpg,practice1unrel1.jpg,practice1unrel2.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Hochtrabend daherkommend erwähnte der Profi:
practice,practice,practice,practice,practice,practice,practice,practice,practice,practice,Gut gelaunt*sagte*die Studentin:,Ich*schreibe*später*meine Hausaufgaben*in der Bibliothek.,practice,practice2rel1.jpg,practice2rel2.jpg,practice2unrel1.jpg,practice2unrel2.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Gut gelaunt sagte die Studentin:
practice,practice,practice,practice,practice,practice,practice,practice,practice,practice,Minimal verunsichert*benannte*Anne:,"Ich*ahne,*dass*der Fleck*trotz der starken Reinigung*bleibt.",practice,practice3rel1.jpg,practice3rel2.jpg,practice3unrel1.jpg,practice3unrel2.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Minimal verunsichert benannte Anne:
1,43,3,filler,SocStat,1,high,high,match,yes,Herr Kluge*bemüht sich*sehr*als Politiker.,"Ich*nehme an,*dass*die Absperrung*wegen der langen Konferenz*bestehen bleibt.",a,Filler3_socstat_unrelated_2.jpg,Filler3_socstat_related_1.jpg,Filler3_socstat_unrelated_1.jpg,Filler3_socstat_related_2.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Herr Kluge bemüht sich sehr als Politiker.
2,3,3,critical,WP1,3,low,low,match,yes,Schlampig*eingestellt*labert*Felix.,Ich*saniere*bald*meine Behausung*in der City.,c,Wohnung-1.jpg,Behausung-1.jpg,Ohren-1.jpg,Lauscher-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Schlampig eingestellt labert Felix.
3,101,11,filler,WP2,9,low,low,match,yes,Die Babysitterin*checkte*im Laden:,Die Verkäuferin*beäugelte*das Kind.,i,Filler11_WP2_unrelated_2.jpg,Filler11_WP2_unrelated_1.jpg,Filler11_WP2_related_2.jpg,Filler11_WP2_related_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Die Babysitterin checkte im Laden:
4,105,13,filler,WP2,8,low,high,mismatch,no,Die Clique*johlte*beim Saufen:,Der Lokalbesitzer*maßregeln*den Kellner.,h,Filler13_WP2_unrelated_1.jpg,Filler13_WP2_related_1.jpg,Filler13_WP2_related_2.jpg,Filler13_WP2_unrelated_2.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Die Clique johlte beim Saufen:
5,21,25,critical,WP1,5,low,low,match,no,Mordsmäßig*betucht*brabbelt*Heike:,Ich*pediküre*bald*meine Bude*bei der Kosmetikerin.,e,Fuesse-1.jpg,Mauken-1.jpg,Residenz-1.jpg,Bude-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Mordsmäßig betucht brabbelt Heike:
6,31,39,critical,WP1,4,low,high,mismatch,yes,Lässig chillend*quasselt*Sabine:,Ich*betreibe*jetzt*meine Pension*in der Region.,d,Pension-1.jpg,Absteige-1.jpg,Hausschuhe-1.jpg,Schlappen-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Lässig chillend quasselt Sabine:
7,15,15,critical,WP1,6,low,high,mismatch,no,Helle gestrickt*tönt*Robert:,Ich*spare*jetzt*mein Essen*auf dem Konto.,f,Geld-1.jpg,Moos-1.jpg,Futter-1.jpg,Essen-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Helle gestrickt tönt Robert:
8,41,1,filler,SocStat,1,high,high,match,yes,Tante*Inga*schuftet*schwer*in*der*Imbissbude.,"Ich*merke,*dass*die*Gegend*wegen*des*bunten*Festes*abgesperrt*ist.",a,Filler1_socstat_related_1.jpg,Filler1_socstat_unrelated_2.jpg,Filler1_socstat_related_2.jpg,Filler1_socstat_unrelated_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Tante Inga schuftet schwer in der Imbissbude.
9,98,9,filler,WP2,9,low,low,match,yes,Die Bürotante*kritzelte*auf den Zettel:,Der Reiseleiter*beguckte*den Einzelgänger.,i,Filler9_WP2_related_1.jpg,Filler9_WP2_unrelated_2.jpg,Filler9_WP2_unrelated_1.jpg,Filler9_WP2_related_2.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Die Bürotante kritzelte auf den Zettel:
10,25,31,critical,WP1,4,low,high,mismatch,yes,Spitze*gedrillt*schnarrt*Klaus:,Ich*feuer(e)*bald*meine Pistole*auf der Gasse.,d,Pistole-1.jpg,Knarre-1.jpg,Pillen-1.jpg,Arznei-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Spitze gedrillt schnarrt Klaus:
11,11,11,critical,WP1,6,low,high,mismatch,no,Patent trainiert*verklickert*Daniel:,Ich*bügel*gleich*meine Pferde*auf dem Bügelbrett.,f,Hosen-1.jpg,Buxen-1.jpg,Pferde-1.jpg,Gaule-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Patent trainiert verklickert Daniel:
12,55,15,filler,SocStat,2,high,high,match,no,Charlotte*schreibt*freiberuflich*für ein Satiremagazin.,"Ich*ahne,*dass*die Stimmung*wegen die fiese Beleidigung*schlecht ist.",b,Filler15_socstat_unrelated_2.jpg,Filler15_socstat_related_1.jpg,Filler15_socstat_related_2.jpg,Filler15_socstat_unrelated_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Charlotte schreibt freiberuflich für ein Satiremagazin.
13,19,21,critical,WP1,5,low,low,match,no,Fix gerüstet*plappert*Florian:,Ich*stähle*jetzt*meinen Köter*in dem Sportzentrum.,e,Bauch-1.jpg,Wanst-1.jpg,Hund-1.jpg,Koeter-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Fix gerüstet plappert Florian:
14,86,3,filler,WP2,7,low,high,mismatch,yes,Der Typ*verbreitete*auf WhatsApp:,Der Sportlehrer*tyrannisierte*den Wettläufer.,g,Filler3_WP2_related_2.jpg,Filler3_WP2_unrelated_2.jpg,Filler3_WP2_unrelated_1.jpg,Filler3_WP2_related_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Der Typ verbreitete auf WhatsApp:
15,94,7,filler,WP2,10,low,low,match,no,Der Besoffene*johlte*vor dem Fernseher:,Der Kriminalbeamte*verschaukeln*den Raubmörder.,j,Filler7_WP2_unrelated_2.jpg,Filler7_WP2_related_2.jpg,Filler7_WP2_unrelated_1.jpg,Filler7_WP2_related_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Der Besoffene johlte vor dem Fernseher:
16,23,27,critical,WP1,5,low,low,match,no,Enorm geschickt*schnattert*Susanna:,Ich*schneidere*jetzt*meine Fiedel*bei der Näherin.,e,Kleider-1.jpg,Fummel-1.jpg,Geige-1.jpg,Fiedel-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Enorm geschickt schnattert Susanna:
17,53,13,filler,SocStat,2,high,high,match,no,Trotz Technologiesierung*arbeiten*viele*aus meiner Familie*in Fabriken.,"Ich*schätze,*dass*die Lieferung*wegen die heftigen Stürme*verspätet ist.",b,Filler13_socstat_unrelated_1.jpg,Filler13_socstat_unrelated_2.jpg,Filler13_socstat_related_1.jpg,Filler13_socstat_related_2.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Trotz Technologiesierung arbeiten viele aus meiner Familie in Fabriken.
18,29,37,critical,WP1,4,low,high,mismatch,yes,Recht zuvorkommend*plauscht*Norbert:,Ich*wasche*gleich*meine Finger*in dem Spülbecken.,d,Finger-1.jpg,Griffel-1.jpg,Pluerre-1.jpg,Getraenke-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Recht zuvorkommend plauscht Norbert:
19,89,5,filler,WP2,10,low,low,match,no,Der Pöbel*erzählte*überall rum:,Der Bischof*rüffeln*den Herrscher.,j,Filler5_WP2_related_1.jpg,Filler5_WP2_unrelated_2.jpg,Filler5_WP2_unrelated_1.jpg,Filler5_WP2_related_2.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Der Pöbel erzählte überall rum:
20,49,9,filler,SocStat,2,high,high,match,no,Ein Streifenpolizist*braucht*eine gute Intuition.,"Ich*befürchte,*dass*die Strecke*wegen das frühe Rennen*umgeleitet ist.",b,Filler9_socstat_unrelated_2.jpg,Filler9_socstat_unrelated_1.jpg,Filler9_socstat_related_1.jpg,Filler9_socstat_related_2.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Ein Streifenpolizist braucht eine gute Intuition.
21,45,5,filler,SocStat,1,high,high,match,yes,Jans Eltern*verlangen*als Professoren*viel*von ihrem Sohn*ab.,"Ich*denke,*dass*die Studie*wegen des groben Versehens*abgesagt ist.",a,Filler5_socstat_related_2.jpg,Filler5_socstat_unrelated_2.jpg,Filler5_socstat_unrelated_1.jpg,Filler5_socstat_related_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Jans Eltern verlangen als Professoren viel von ihrem Sohn ab.
22,27,33,critical,WP1,4,low,high,mismatch,yes,Ganz doll*wacker*wiehert*Elisabeth:,Ich*lese*später*meine Bücher*in der Bücherei.,d,Buecher-1.jpg,Waelzer-1.jpg,Brause-1.jpg,Schorle-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Ganz doll wacker wiehert Elisabeth:
23,17,19,critical,WP1,5,low,low,match,no,Aktiv*mit*dabei*protzt*Lukas:,Ich*unterschreibe*jetzt*meinen Schampus*in dem Office.,e,Antrag-1.jpg,Wisch-1.jpg,Champagner-1.jpg,Schampus-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Aktiv mit dabei protzt Lukas:
24,109,15,filler,WP2,8,low,high,mismatch,no,Der Depp*sprayte*an die Mauer:,Der Soldat*denunzieren*den Wachmann.,h,Filler15_WP2_related_2.jpg,Filler15_WP2_unrelated_1.jpg,Filler15_WP2_unrelated_2.jpg,Filler15_WP2_related_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Der Depp sprayte an die Mauer:
25,9,9,critical,WP1,6,low,high,mismatch,no,Massig*betucht*schwafelt*Paula:,Ich*verschrotte*bald*meine Beine*neben der Müllkippe.,f,Beine-1.jpg,Stelzen-1.jpg,Autos-1.jpg,Karren-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Massig betucht schwafelt Paula:
26,47,7,filler,SocStat,1,high,high,match,yes,Die Feuerwehrfrau*löscht*die Brände.,"Ich*meine,*dass*die Unruhe*wegen der wüsten Proteste*nachvollziehbar ist.",a,Filler7_socstat_related_2.jpg,Filler7_socstat_related_1.jpg,Filler7_socstat_unrelated_2.jpg,Filler7_socstat_unrelated_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Die Feuerwehrfrau löscht die Brände.
27,1,1,critical,WP1,3,low,low,match,yes,Sauber zurechtgemacht*labert*Peter:,Ich*binde*gleich*meine Latschen*vor dem Zimmer.,c,Schuhe-1.jpg,Latschen-1.jpg,Klamotten-1.jpg,Kleidung-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Sauber zurechtgemacht labert Peter:
28,51,11,filler,SocStat,2,high,high,match,no,Elsa*verdient*als Pilotin*sehr viel Geld.,"Ich*bin*überzeugt,*dass*die Freundschaft*wegen die große Entfernung*leiden muss.",b,Filler11_socstat_unrelated_2.jpg,Filler11_socstat_related_1.jpg,Filler11_socstat_unrelated_1.jpg,Filler11_socstat_related_2.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Elsa verdient als Pilotin sehr viel Geld.
29,13,13,critical,WP1,6,low,high,mismatch,no,Astrein hergerichtet*plappert*Maria:,Ich*schmiere*später*meine Fingernägel*in der Kochnische.,f,Butterbrote-1.jpg,Schnitten-1.jpg,Fingernaegel-1.jpg,Klauen-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Astrein hergerichtet plappert Maria:
30,5,5,critical,WP1,3,low,low,match,yes,Stark unter Dampf*trötet*Moritz:,Ich*renoviere*später*meine Kammern*in dem Plattenbau.,c,Gemaecher-1.jpg,Kammern-1.jpg,Tassen-1.jpg,Poette-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Stark unter Dampf trötet Moritz:
31,7,7,critical,WP1,3,low,low,match,yes,Quietschfidel gelaunt*twittert*Dennis:,Ich*fahre*jetzt*mein Stahlross*durch den Kiez.,c,Gemuese-1.jpg,Gruenzeug-1.jpg,Fahrrad-1.jpg,Stahlross-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Quietschfidel gelaunt twittert Dennis:
32,82,1,filler,WP2,7,low,high,mismatch,yes,Der Türsteher*steckte*dem coolen Partygirl:,Der Trinker*diffamierte*den Taxifahrer.,g,Filler1_WP2_related_2.jpg,Filler1_WP2_unrelated_2.jpg,Filler1_WP2_unrelated_1.jpg,Filler1_WP2_related_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Der Türsteher steckte dem coolen Partygirl:
33,24,28,critical,WP1,5,high,high,match,no,Meisterlich begabt*stimuliert*Susanna:,Ich*besaite*später*meine Kleider*in einem Musikgeschäft.,e,Geige-1.jpg,Fiedel-1.jpg,Kleider-1.jpg,Fummel-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Meisterlich begabt stimuliert Susanna:
34,102,12,filler,WP2,9,high,low,mismatch,yes,Die Akademikerin*bedauerte*in der Konversation:,Der Passant*schimpfte*den Obdachlosen.,i,Filler12_WP2_unrelated_1.jpg,Filler12_WP2_unrelated_2.jpg,Filler12_WP2_related_2.jpg,Filler12_WP2_related_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Die Akademikerin bedauerte in der Konversation:
35,20,22,critical,WP1,5,high,high,match,no,Fachkundig*instruiert*signalisiert*Florian:,Ich*entwurme*jetzt*meinen Bauch*bei dem Veterinär.,e,Hund-1.jpg,Koeter-1.jpg,Bauch-1.jpg,Wanst-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Fachkundig instruiert signalisiert Florian:
36,2,2,critical,WP1,3,high,high,match,yes,Elegant angezogen*spricht*Peter:,Ich*falte*gleich*meine Kleidung*auf der Liege.,c,Klamotten-1.jpg,Kleidung-1.jpg,Schuhe-1.jpg,Latschen-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Elegant angezogen spricht Peter:
37,16,16,critical,WP1,6,high,low,mismatch,no,Feinsinnig veranlagt*verkündet*Robert:,Ich*koche*jetzt*mein Moos*auf dem Kochfeld.,f,Futter-1.jpg,Essen-1.jpg,Geld-1.jpg,Moos-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Feinsinnig veranlagt verkündet Robert:
38,54,14,filler,SocStat,2,high,high,match,no,Herr Meyers*Tätigkeit als Disponent*verlangt*analytische Fähigkeiten.,"Ich*vermute,*dass*die Bahn*wegen das heikle Spiel*überfüllt ist.",b,Filler14_socstat_related_1.jpg,Filler14_socstat_related_2.jpg,Filler14_socstat_unrelated_1.jpg,Filler14_socstat_unrelated_2.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Der*Gefängnisvorstand*bezeugte*in*der*Anhörung:
39,93,8,filler,WP2,10,high,low,mismatch,no,Die Juroren*verlasen*ihr Votum:,Der Sporttaucher*foppen*den Brustschwimmer.,j,Filler8_WP2_related_1.jpg,Filler8_WP2_related_2.jpg,Filler8_WP2_unrelated_1.jpg,Filler8_WP2_unrelated_2.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Die Juroren verlasen ihr Votum:
40,6,6,critical,WP1,3,high,high,match,yes,Höchst strebsam*verlautbart*Moritz:,Ich*töpfere*später*meine Tassen*in dem Atelier.,c,Tassen-1.jpg,Poette-1.jpg,Gemaecher-1.jpg,Kammern-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Höchst strebsam verlautbart Moritz:
41,30,38,critical,WP1,4,high,low,mismatch,yes,Achtsam wohlmeinend*verbalisiert*Norbert:,Ich*verschütte*gleich*meine Plürre*auf das Tafeltuch.,d,Pluerre-1.jpg,Getraenke-1.jpg,Finger-1.jpg,Griffel-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Achtsam wohlmeinend verbalisiert Norbert:
42,22,26,critical,WP1,5,high,high,match,no,Unerhört wohlhabend*äußert*Heike:,Ich*verkaufe*bald*meine Füße*bei der Versteigerung.,e,Residenz-1.jpg,Bude-1.jpg,Fuesse-1.jpg,Mauken-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Unerhört wohlhabend äußert Heike:
43,97,10,filler,WP2,9,high,low,mismatch,yes,Der Werkstattinhaber*bekundete*bestürzt:,Der*Autobesitzer*nervte*den Mechaniker.,i,Filler10_WP2_related_2.jpg,Filler10_WP2_related_1.jpg,Filler10_WP2_unrelated_2.jpg,Filler10_WP2_unrelated_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Der Werkstattinhaber bekundete bestürzt:
44,10,10,critical,WP1,6,high,low,mismatch,no,Vermögend situiert*avisiert*Paula:,Ich*rasiere*bald*meine*Karren*in*der*Badewanne.,f,Autos-1.jpg,Karren-1.jpg,Beine-1.jpg,Stelzen-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Vermögend situiert avisiert Paula:
45,52,12,filler,SocStat,2,high,high,match,no,Marc*muss*als*Berufsmusiker*stets*flexibel*sein.,"Ich*bin*überzeugt,*dass*die Veranstaltung*wegen die laute Störung*länger dauert.",b,Filler12_socstat_related_2.jpg,Filler12_socstat_unrelated_1.jpg,Filler12_socstat_unrelated_2.jpg,Filler12_socstat_related_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Marc muss als Berufsmusiker stets flexibel sein.
46,8,8,critical,WP1,3,high,high,match,yes,Wohlgemut gesinnt*proklamiert*Dennis:,Ich*esse*jetzt*mein Gemüse*von dem Supermarkt.,c,Fahrrad-1.jpg,Stahlross-1.jpg,Gemuese-1.jpg,Gruenzeug-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Wohlgemut gesinnt proklamiert Dennis:
47,106,14,filler,WP2,8,high,high,match,no,Der Hochwohlgeborene*verbreitete*anmutig:,Der Meister*prüfen*den Lehrling.,h,Filler14_WP2_unrelated_1.jpg,Filler14_WP2_related_2.jpg,Filler14_WP2_unrelated_2.jpg,Filler14_WP2_related_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Der Hochwohlgeborene verbreitete anmutig:
48,28,34,critical,WP1,4,high,low,mismatch,yes,Unermesslich wohlerzogen*frohlockt*Elisabeth:,Ich*trinke*später*meine Brause*in dem Lokal.,d,Brause-1.jpg,Schorle-1.jpg,Buecher-1.jpg,Waelzer-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Unermesslich wohlerzogen frohlockt Elisabeth:
49,56,16,filler,SocStat,2,high,high,match,no,Ricardo*wird*Regelmäßig*als DJ*angeheuert.,"Ich*merke,*dass*die*Überraschung*wegen*die*tiefe*Freude*gelungen*ist.",b,Filler16_socstat_related_1.jpg,Filler16_socstat_unrelated_2.jpg,Filler16_socstat_related_2.jpg,Filler16_socstat_unrelated_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Ricardo wird Regelmäßig als DJ angeheuert.
50,18,20,critical,WP1,5,high,high,match,no,Regsam engagiert*renommiert*Lukas:,Ich*serviere*jetzt*meinen Antrag*auf der Veranda.,e,Champagner-1.jpg,Schampus-1.jpg,Antrag-1.jpg,Wisch-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Regsam engagiert renommiert Lukas:
51,48,8,filler,SocStat,1,high,high,match,yes,Anna*arbeitet*mehr*als 5*Jahre*in dem Geschäft.,"Ich*meine,*dass*das Essen*wegen des scharfen Gewürzes*unverträglich ist.",a,Filler8_socstat_related_1.jpg,Filler8_socstat_unrelated_1.jpg,Filler8_socstat_unrelated_2.jpg,Filler8_socstat_related_2.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Anna arbeitet mehr als 5 Jahre in dem Geschäft.
52,12,12,critical,WP1,6,high,low,mismatch,no,Dienlich geschult*kommentiert*Daniel:,Ich*striegel*gleich*meine Buxen*vor dem Manege.,f,Pferde-1.jpg,Gaule-1.jpg,Hosen-1.jpg,Buxen-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Dienlich geschult kommentiert Daniel:
53,42,2,filler,SocStat,1,high,high,match,yes,Jürgen*spricht*gerne*über seine Tätigkeit*auf dem Bau.,"Ich*weiß,*dass*der Aufenthalt*wegen der schlechten Lage*preiswert ist.",a,Filler2_socstat_unrelated_2.jpg,Filler2_socstat_related_2.jpg,Filler2_socstat_related_1.jpg,Filler2_socstat_unrelated_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Jürgen spricht gerne über seine Tätigkeit auf dem Bau.
54,81,2,filler,WP2,7,high,high,match,yes,Der Gefängnisvorstand*bezeugte*in der Anhörung:,Der Skinhead*züchtigte*den Häftling.,g,Filler2_WP2_unrelated_1.jpg,Filler2_WP2_related_2.jpg,Filler2_WP2_unrelated_2.jpg,Filler2_WP2_related_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Der Gefängnisvorstand bezeugte in der Anhörung:
55,26,32,critical,WP1,4,high,low,mismatch,yes,Grandios geschult*prophezeit*Klaus:,Ich*verschreibe*bald*meine Pillen*auf einem Zettel.,d,Pillen-1.jpg,Arznei-1.jpg,Pistole-1.jpg,Knarre-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Grandios geschult prophezeit Klaus:
56,50,10,filler,SocStat,2,high,high,match,no,Mein Papa*ist*Schreiner.,"Ich*befürchte,*dass*die Sanierung*wegen die schöne Umgebung*chancenlos ist.",b,Filler10_socstat_unrelated_2.jpg,Filler10_socstat_related_1.jpg,Filler10_socstat_unrelated_1.jpg,Filler10_socstat_related_2.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Mein Papa ist Schreiner.
57,46,6,filler,SocStat,1,high,high,match,yes,Zu spät*kommen*als Arzt*wird*nicht gern*gesehen.,"Ich*denke,*dass*der Stau*wegen der engen Baustelle*unendlich ist.",a,Filler6_socstat_unrelated_1.jpg,Filler6_socstat_related_2.jpg,Filler6_socstat_related_1.jpg,Filler6_socstat_unrelated_2.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Zu spät kommen als Arzt wird nicht gern gesehen.
58,4,4,critical,WP1,3,high,high,match,yes,Modern ausgerichtet*spricht*Felix:,Ich*pierce*bald*meine*Ohren*in dem Einkaufszentrum.,c,Ohren-1.jpg,Lauscher-1.jpg,Wohnung-1.jpg,Behausung-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Modern ausgerichtet spricht Felix:
59,32,40,critical,WP1,4,high,low,mismatch,yes,Leger verweilend*ersinnt*Sabine:,Ich*trage*jetzt*meine Schlappen*in der Villa.,d,Hausschuhe-1.jpg,Schlappen-1.jpg,Pension-1.jpg,Absteige-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Leger verweilend ersinnt Sabine:
60,110,16,filler,WP2,8,high,high,match,no,Der Vorstand*verbuchte*im Protokoll:,Der Radfahrer*behelligen*den Autofahrer.,h,Filler16_WP2_related_2.jpg,Filler16_WP2_related_1.jpg,Filler16_WP2_unrelated_2.jpg,Filler16_WP2_unrelated_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Der Vorstand verbuchte im Protokoll:
61,85,4,filler,WP2,7,high,high,match,yes,Die Kulturministerin*artikulierte*im Jahresbericht:,Die Regisseurin*koste*den Hauptdarsteller.,g,Filler4_WP2_related_2.jpg,Filler4_WP2_unrelated_1.jpg,Filler4_WP2_related_1.jpg,Filler4_WP2_unrelated_2.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Die Kulturministerin artikulierte im Jahresbericht:
62,90,6,filler,WP2,10,high,low,mismatch,no,Der Bürgermeister*proklamierte*im Amtsblatt:,Der Detektiv*übertölpeln*den Gauner.,j,Filler6_WP2_related_1.jpg,Filler6_WP2_unrelated_1.jpg,Filler6_WP2_unrelated_2.jpg,Filler6_WP2_related_2.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Der Bürgermeister proklamierte im Amtsblatt:
63,14,14,critical,WP1,6,high,low,mismatch,no,Außerordentlich*präpariert*formuliert*Maria:,Ich*lackiere*später*meine Schnitten*bei dem Kosmetiksalon.,f,Fingernaegel-1.jpg,Klauen-1.jpg,Butterbrote-1.jpg,Schnitten-1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Außerordentlich präpariert formuliert Maria:
64,44,4,filler,SocStat,1,high,high,match,yes,Als Justiziar*benötigt*man*eine breite Expertise.,"Ich*nehme*an,*dass*das Verfahren*wegen der harten Anklage*aufgenommen wurde.",a,Filler4_socstat_related_2.jpg,Filler4_socstat_unrelated_2.jpg,Filler4_socstat_unrelated_1.jpg,Filler4_socstat_related_1.jpg,Welches Bild passt am besten zu dem vorherigen Satz?,Als Justiziar benötigt man eine breite Expertise.
